"titulo","titulo_fonte","genero","genero_fonte","diretor","diretor_fonte","dataLancamento","dataLancamento_fonte","nota","nota_fonte","atores","atores_fonte","distribuidora","distribuidora_fonte","captado","captado_fonte","maximo_numero_de_salas","maximo_numero_de_salas_fonte","bilheteria","bilheteria_fonte","publico","publico_fonte","classificacao_indicativa","classificacao_indicativa_fonte","titulo_filme_anterior","publico_filme_anterior","fonte_publico_filme_anterior","nome_programaTv","pontos_ibobeSP_Ano_do_lancamento","fonte_pontos_ibobeSP_Ano_do_lancamento","relancamento","temFilmeAnterior","filmeBaseadoSerieTV"
"a erva do rato","filmeB","Drama","ministerioDaJustica","julio bressane","ministerioDaJustica",2009-06-26,"filmeB","3","imdb","alessandra negrini / selton mello","ministerioDaJustica","republica_pureza","ministerioDaJustica",1032425.30641289,"ancine",1,"filmeB",40896.9474502805,"ancine",3937,"filmeB","16","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a falta que me faz","filmeB","Documentário","ministerioDaJustica","marilia rocha de siqueira","ministerioDaJustica",2010-11-19,"filmeB","3","imdb","documentario",NA,"lume","ministerioDaJustica",544001.495346654,"ancine",1,"filmeB",4002.73115195179,"ancine",394,"filmeB","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a falta que nos move","filmeB","Drama","imdb","christianne jatahy","ministerioDaJustica",2011-07-03,"filmeB","3","imdb","bruce willis / kevin pollak","ministerioDaJustica","spectateur","ministerioDaJustica",902455.297394368,"ancine",12,"ancine",94074.8612833922,"ancine",8236,"filmeB","14","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a felicidade é...","ancine","Comédia / Drama","imdb","jorge furtado / jose pedro goulart / cecilio neto / jose roberto torero","ancine",1995-09-15,"folha","3","imdb","debora bloch / fabiano post / lila vieira / pedro cardoso / ze adao barbosa / ze victor castiel","cartaz","riofilme","ancine",NA,NA,NA,NA,48545.9754566716,"ancine",3000,"ancine","16","canalcurta.tv",NA,0,NA,NA,0,NA,TRUE,FALSE,FALSE
"a festa da menina morta","filmeB","Drama","ministerioDaJustica","matheus nachtergaele","ministerioDaJustica",2009-06-11,"filmeB","3","imdb","daniel de oliveira / juliano cazarre / cassia kiss","ministerioDaJustica","imovision","ministerioDaJustica",1531829.55941828,"ancine",1,"filmeB",169177.469463205,"ancine",17321,"filmeB","18","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a festa de margarette","filmeB","Comédia","imdb","renato falcao","ancine",2006-04-28,"interfilmes","4","imdb","hique gomez / ilana kaplan","cartaz","distribuicao_propria","filmeB",NA,NA,1,"filmeB",NA,NA,9486,"filmeB","14","ricardorangelfilmes",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a fuga da mulher gorila","filmeB","Aventura / Musical","ministerioDaJustica","felipe braganca","ministerioDaJustica",2011-09-02,"filmeB","3","imdb","flora dias / morena cattoni","ministerioDaJustica","vitrine","ministerioDaJustica",NA,NA,5,"ancine",2031.08070613878,"ancine",419,"filmeB","12","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a grande familia - o filme","filmeB","Comédia","ministerioDaJustica","mauricio farias","ministerioDaJustica",2007-01-26,"filmeB","3","imdb","marco nanini / marieta severo / pedro cardoso","ministerioDaJustica","europa","ministerioDaJustica",NA,NA,246,"filmeB",22588753.7552088,"ancine",2035576,"filmeB","10","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a grande noitada","ancine","Drama","cineplayers","denoy de oliveira","ministerioDaJustica",2008-04-06,"adorocinema","2","imdb","othon bastos / silvia pompeo / italo rossi / augusto pompeo / luciano chirolli","ministerioDaJustica","riofilme","ministerioDaJustica",534933.735852769,"ancine",1,"ancine",10448.375986548,"ancine",1587,"ancine","12","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a guerra dos rocha","filmeB","Comédia","ministerioDaJustica","jorge fernando","ministerioDaJustica",2008-10-10,"filmeB","2","imdb","ary fontoura / ailton graca / tais araujo","ministerioDaJustica","fox","ministerioDaJustica",5313336.85909959,"ancine",90,"filmeB",3177254.10832771,"ancine",348909,"filmeB","12","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
